overall,reviewText
neutral,its smaller then i expected  very pretty hope it wont tarnis just received it yesterday
neutral,came with everything promised the gun itself was mini sized feels solidmy only complaint is that the case came with broken mirror fragments inside
neutral,tends to overheat so on low only this seems to be the only wide barrel brush iron available i would purchase it again
positive,lives up to the hype  the color looks really bright in the compact but not when you put it on  there is a little sparkle but its not noticeable unless you have a heavy hand  very flattering color
neutral,name tag came broken case is nice
positive,this is such a good product for the price it is very sharp too unlike similar trimmers the item did not come with the base piece as shown in the picture though not such a big deal because i had an older one from a previous model
negative,piece of junk doesnt work
positive,great razor blade at a great price i use these with the perfecto double edge safety razor they stay sharp for about  shaves just trimming my neck and cheek lines  i have very sensitive skin and these combined with basic barbasol shaving cream have kept me razor burn and blood free previously only accomplished with an electric razor
neutral,i did not receive  lipsticks i received  lipstick and a black eyeliner with a tiny little crummy brush the eye liner is black but goes on pale grey the lipstick is good but not as advertised only  lipstick instead of  i guess i should have read it closer 
neutral,poor quality
positive,the best hair color i have ever used  covers great and does not stain my skin  leaves my hair soft
negative,wasnt real clear on size  picture made it look like the big bottle  to expensive 
neutral,worked well one time but impossible to clean out completely i ended up throwing it out after one use because i dont want to keep contaminating my makeup with the old stuff left in the bottle
positive,hairdryer is lighter than others i have owned and does not make my hair frizzy drys fast and results are smooth hair
positive,great hair oil
negative,my cousin swears by these products unfortunately it didnt agree with my skin type dry it made me break up so i ended up giving to my mom which she loved it i think its ideal for oily skin but not for the dry ones
neutral,ive had the rotadent for several yearsi bought replacement heads from my dentist directly and from the manufacturer directly this replacement heads tip is much softer and not as compact as the otherits ok but i will not buy another one as i prefer the harder more compact tip
neutral,color was more orangey than i wanted
neutral,initially works great over time the little black rubber plug at d botyom of the reservoir will not sealsit properly and upon refilling it with water it leaks  i have manually push the plug in to achieve seal
negative,after using my norelco quadra for about  years and having absolutely no issues to with it i thought to myself why dont i try a new razor since quadra never gave me the close shave i thought i experiment and see how technology has evolved over the years i purchased the best the arcitec what a disaster it was it gave me terrible irritation cut the hair very slowly and refused to pick up some my face would not adjust to it i struggled with it for a month and returned it to norelco who hopefully will refund my money since i no longer had my old quadra action i decided to give norelco another try and purchased the xl i only shaved with it once however it was the best shave in my life it picked up all uneasy hairs without struggle and i never expected the closeness it gave me i love it and actually look forward to my next shave i strongly recommend purchasing any shaver from xl line up
neutral,not as nice as the picture very cheaply made and flimsy wish i put more money to it and got a better one lern from my mistake
positive,this is a must to have if you use seche vite fast dry top coat  works amazingly to get the top coat back to its smoothness 
negative,its beautiful but doesnt last long  my daughter put it on and it broke  minutes later very cheaply made
neutral,useful to clean gums not as high pressured as i wouldve hoped good to use if you have permanent retainer i suppose
positive,excellent product
positive,just what i needed and the price was best i found
positive,the only hair product that works for my straight hair
negative,this stuff is a mess the product may be good but it is contained in a pump spray bottle that does not work  it takes two hands to push the pump and the dark brown liquid splatters all over my white bathroom walls and sink and the bottle leaks out of the top  i may try to find another bottle and dump the product into a functional spray bottle otherwise do not bother
neutral,it is better than most oils on the market  however it your skin and hair will be pretty oily if you use too much  salute sante syrah  extra virgin cold pressed napa valley grapeseed oil by food and vine  it is excellent  your skin will feel like satin just by using a few drops ilike it also on my hais
neutral,nice for the price but are much lighter than the picture shows
positive,looks good i like it
negative,broke right away
negative,makes your hair feel awful and very dangled and dry
negative,havent even had this two weeks and a prong broke very disappointed as they are not inexpensive
neutral,its good for the price just i expected a little more bigger for my foundation it takes a little more time bz is little but is ok do the job just next time i need to check for size  what i love is i got the brush faster than i expected
negative,i am very picky with how staighten my hair looks this didnt work for me
negative,basura el peor producto
negative,the posts are so wide i cant get them in my ears
positive,i dont remember ever sleeping better  i fall asleep easily and sleep through the night  ive had trouble in the past with waking up multiple times during the night but sleep soundly with xsomnia  i dont feel groggy in the morning  no hangover  one thing i did notice when i first started taking it was that i had vivid dreams  almost like i hadnt been dreaming and my mind was catching up but now i dream normally
positive,loved this necklace
negative,i am used to sally hansen nail wraps which last a couple weeks  these looked cute and similar so i tried this brand  they curl up immediately after peeling them off the backing  after getting used to that problem and still getting them onto my nails they started peeling up really quickly  lasted about  hours looking raggedy peeled off easily not worth the time or money  wish sally hansen would come up with some new styles cute idea bad product
neutral,i think its good for a small dog but a bad decision for larger dogs because it is one of the easier plush toys to destroy  my  pound shihtzu is not able to make the sound go off by herself unless she accidentally steps on it which i dont like because id prefer her to be able to bite it and it go off  i was playing tug with her and one of the legs slightly tore right off the bat  now i just click the internal button that makes the  moo sounds and let wrestle with it  its not bad but i think there are better options for the money
negative,poorly designed there are much better products out there if you really want to waste your money just send it directly to the engineer who designed this junk you will save space in your trash can and the landfill i buy a lot of stuff from amazon and this is the first thing to provoke a star reveiw
neutral,it was ok
positive,absolutely high quality and affordable price
positive,pinwheel arrived in good condition and i bought it used its shiny and got a decent weight for something so small all the pins are straight and even and the seller wrapped it in some tissue to keep the pins from piercing the plastic holder it was in obviously i will have to find a more permanent holder for it but that was to be expected it spins freely and i see no issues with catching and dragging like one reviewer said looks exactly like the one in the picture cant be beat for less than 
negative,i am missing two inner caps that go into the bottle directly and one white outer cap poor quality bottles not happy with this purchase at all
negative,you only receive  bottle and not  as shown very deceiving
negative,this stuff blows compared to vapesupply  after only a couple days use this stuff turns your wick brown with corrosive degradation  vapesupply a retains its shiny luster longer which means your wicks last longer   stars because it functions
neutral,it was an okay shaver but ive only used it once and gave it to a friend ive got a good amount of body hair and after the first go while not painful it did irritate the skin a bit leaving red spots behind
negative,the problem with this lovely barrette is that it only works for very thick hair  since the barrette has an open hole in the middle it slides off hair of average thickness  the barrette itself is very attractive and well made  this is a design issue
neutral,this cream does what is supposed to but i do not believe the price is realistic i suspect it costs about  per tube to make theyre all like that and the price is  higher locally its for my husband tho and hes going to buy what the dr says if out was me id try things like coconut oil fractionated or not and various other oils emu would probably do the trick or jojoba
positive,fair coverage not too heavy and not too light good for daily sunscreen wear highly recommend it if youre looking for light coverage superbb cream will do the magic however this product does not act like a concealer
neutral,smells a little more like chemicals than im used to
negative,horrible smell unbearable
positive,i am very happy with this product  i have had similar treatments at spas and loved the results  the suction is not as strong as a professional spa but it works really well  i was happy with the results from the first use using this is addicting  i ordered some of the filters that were associated with the product when i ordered but they are too big  hopefully i can get the right replacement filters  overall a good value  i am very satisfied with the product performance and results
neutral,eta update  i am so disappointed  the biggest one the one that is an inch and a half killed the smallest one when it molted the carnage was unbelievable  i dont know if they sent me the wrong species but these things are nothing like the description neither in appearance nor behavior  the biggest one is a monster twice the size of the description aggressive and now a killer  will not be purchasing from susies gifts again  even though the seller states onestopaquatics the  price was only offered by a different seller susies gifts at the time of my purchase  i hesitated with susies gifts because of the  positive rating my overall experience with susies gifts was ok  my initial concerns were that the package sat for  days in california before it shipped based on the tracking  i received the package milwaukee wi in  days  i was concerned because all the other aquatic stores ive shopped with delivered in  days with a  shipping cost  i contacted susies gifts on the third day after seeing it was just sitting in ca they assured me that having years of experience shipping live animals around the world the crayfish would be fine for over  weeks in the package  susies gifts charges  for shipping  the package arrived with a signature required so i had to go to the post office after work  the package was not marked with any indicator of live animal or fragile as other sellers do so again i was concerned  i immediately opened the package when i got home  all was well they ate well and were active even though susies gifts was not as professional in their shipping containers or arrival times as other shippers the  crayfish were healthy eating and active  they were brown and a lot bigger than i expected the largest was  inches long second over an  inch and the third just under an inch  based on the description of  to  inches long i initially wanted to put them in my cherry red shrimp tank but due to the very large size i put them into another aquarium with my gentle fish  the largest was bold and did not hide  the other two hid for about an hour and they all three were exploring the aquarium the two largest got into a violent shaking fight that lasted a few seconds but they walked unharmed as of this morning  hours later they seem fine active and slightly more blue in color
positive,these are by far the best cough drops that i have ever used
negative,a lot smaller than described doesnt even look normal and you can see the outline of them in your bathing suit do not buy these unless you are flat chested or a very small a cup they will not look normal
positive,i use a blade a week im set for a couple years they come plenty sharp
positive,the best straightener i have ever used my hair is thick and wild but it only took  minutes to perfectly straightend my hair vs take an hour with a regular one this is my new best friend 
neutral,not only keeps moisture out but keeps it in as well
positive,i received this toothbrush free from a smiley mission i really liked the rubber bristles on the sides  felt like they did help massage my gums i normally use an electric toothbrush but took this along on vacation  think it worked just as well  i wish i had received a smaller brush size because i have a small mouth  the medium size was a little large
positive,i love this my daughters curls can be super crazy when she wakes up this helps tame them and make her hair soft and shiny at the same time i spray on dry hair
positive,super sharp and economical i think i never run out of this box since i use each razor for two weeks
negative,very awkward design very low power  first i thought the battery was low even after letting it charge over  hours as it says on manual still nothing apparently i am not the only one who had that thought i have always been using braun and just wanted to try norelco since it was cheaper but it was a mistake i dont recommend this product to anyone do yourself a favor and buy braun
negative,the company has made major changes on this product the scent has completely changed around  years ago had a great scent and have changed to a cheaper scent that does not last long and over priced
neutral,i was really hoping this would end my bikini bumps after reading so many reviews but even with using the spray daily i still got itchy bumps after a day or so it does give you a nice soft close shave the bottle says you can use it as hair conditioner  which wasnt that great and for the price you could get the same effect  from suave or some other cheap brand  its worth a try but dont expect a miracle feels like glorified conditioner
neutral,its okay but looses too much hair
positive,great product and seller
positive,crest crest pro health cool wintergreen mouth wash is a mild tasting  alcohol free mouth wash i wouldnt describe the taste as great but i like it much better than harsh mouthwashes that leave your mouth burning like another popular brand crest pro health mouth wash kills  of common germs that can cause plaque gingivitis and bad breath i like to use it between brushings for a quick freshen up i recommend it
negative,i got the coconut scent i opened the box and left this on my desk and in no time i was sneezing from the old lady smell the nose of this bar strikes me as cakedon makeup cheap flowery perfume and then an undertone of coconut its not as bad once you open the packaging and let it breathe a little but if you get a strong whiff of concentrated aromas its  grandma
negative,this product was expired when i recieved it tried several times to contact the company i recieved it from with no luck
negative,did not fit right
negative,too thin not for color the cape gets wet easily and is flimsy and just not the best cute material tho will use apron for sexy cooking only
negative,i have been using norelco electric shavers since   this is the worst model i have had  it does not hold a charge for more than  shaves  i like the fact that it can be rinsed  clean is the only good thing i can say about it  i have had it about  yrs as compared to the others i have owned and all of the others have lasted longer i went to buy replacement heads and it was over  dollars  i decided to replace the shaver instead  i just bought the norelco xl and will try it within the next day or two  i wish i could give the razor a  due to the fact i have been shaving with the plug in for the past several  months
negative,came in the mail broken i tried to fix it as best as i could but soon found that it wasnt worth it the black was sheer and left a really hard finish i felt as if my lips would be stuck shut if i didnt constantly lick my lipsput on chapstick didnt like it but it did come in the mail pretty quick
neutral,kinda works
negative,extremely disappointed this is not the official product i have been using the product for  years and from the first use of this from this vendor you can tell the serums quality is way less good it makes my face all sticky when it used to be absorbed in a matter of seconds and the effects are very average not what im used to stay away from this vendor
negative,very small the brush is great but the makeup is thick i thought itd be a nice contour palate to put in my makeup collection but its not what i wanted
positive,i love this product  the packaging is air tight so no germs  a little foundation goes a long way  the mirror is good quality its the perfect compact for a gal with rosacea who needs a touch up often  thank you loreal
positive,works better than other pricey hair supplements i have used i use it in conjunction with the keratin supplements from toji
positive,i was looking for a new shampooconditioner and also for scent layering products in gardenia  i saw all the good reviews for kai and was intrigued but not ready to pay so much for full size  this was a perfect option  i am super impressed with the shampoo and conditioner  it smells amazinglots of gardenia but not old ladyish and leaves my course graying dull dry hair really soft and shiny which is very hard to do  i was not expecting that since the conditioner does not seem substantial at all its really liquidy and doesnt feel like it absorbs into the hair but apparently it does  i love the rest of the products too especially the perfume  a little goes a long way and the scent is just amazing  not sure if ill buy the full size of all products sooo expensive but i will definitely invest in the shampoo conditioner and perfume
negative,ive had to junk two expensive waterpik dental devices after only a year or so due to shoddy materials and construction now i read see the many star reviews of sinusense that another of its products suffers from the same problems wake up  waterpik
positive,this stand fits my de razor and omega brush perfectly  the quality of the stand looks a lot higher than the price would suggest  it also fits my shavemob razor but does not fit a gillette fusion proglide flexball power  i am very happy with this purchase and highly recommend it
negative,arrived leaking all over box lost a fourth of the product havent heard if it will be replaced yet
negative,only  settings unless your consider off as one setting  then you have  two mitts but only one liner is provided i find that odd
positive,i got these lip liners last year super beautiful colors long lasting didnt dry my lips highly recommended
neutral,this is a product i would consider purchasing again because its actually a very good base under your normal mascara however it hasnt done anything in terms of my eyelashes growing or getting thicker again adequate product at a good price for a base coat but dont expect it to be useful for anything beyond that
positive,got this for my husband hes been having some dandruff issues he started using this shampoo and the dandruff is no longer there i really like that the shampoo barely had a smell be jade i hate strong scents
positive,love it as always
positive,i love this cream  it is so creamy but not messy or smelly  it works to clear up even a bad rash overnight  when we used to use desitin on my daughter we noticed that the rash never seemed to clear up completely  we finally realized that it was the actual cream that was making her have a rash  as soon as we stopped using desitin it cleared up  palmers bottom butter is our goto cream when she gets diaper rash
positive,i love this toner it has changed my complexion i have oily acne prone skin and large pores and this toner has controlled the excess oil and has diminished the look of my pores my skin looks brighter and less dull i recommend it  if your skin is combination skin i do not recommend using it because it does dry up everything
neutral,not really water prof as i work in a pool and over time it does come off in splotches but amazing color the only irritation on my lips was when i tried to take off a color right after i applied you have to thing the skin on your lips is supper sensitive dont rush to take off it hurts
negative,save your money and stick to eyebrow pencil and eyeshadow
positive,these are too cute
positive,i purchased this for a christmas gift and was very happy with the timing that it was delivered in  exactly what we wanted
negative,please dont take this with you to the airport
neutral,this is a very nice blush but not worth the price  there are so many good drugstore blushes out there now that can get you a very similar look for much less money  i especially like the milani blushes and the nyx crme blushes if my skin is on the drier side ie winter
negative,false advertisment the picture shows a bottle of cologne however i recieved a curve dopp bag
neutral,i think its ok its just pricey i usually take it after eating  capsules after each meal im not sure if its making a difference though
neutral,was bummed by the quality but its super cute and fits great
negative,i know youre supposed to go through a period of oily hair but i tried for a month and my hair wasnt oily because of the shampoo it was because it wasnt being washed the bars do not lather well and because there are no suds to reach my scalp through my long thick hair my scalp wasnt being washed so i started combing the shampoo bar through my hair and it caused my hair to become a sticky dry mess that i couldnt even brush through
neutral,it works well for the first day or two but it needs to reapplied more often than i thought  i have a small yard so it has lasted but for a medium to large yard it would not go very far
negative,the panasonic electronic pore cleanser doesnt work efficiently at all the suction is powerful wether your skin is wet or dry i was only trying to remove blackheads from around my nose  chin with no difference made i tried to test the suction on a single piece of ply toilet tissue  it wouldnt pick it up hold it or pull it in i hope that gives you an idea of the suction then to top things off i tried to return it  the seller told me i would have to pay for shipping to japan  may not get a full refund because the product was open the shipping yo japan is not the same shipping price you pay when you buy from amazon its much more  for us regular consumers to ship overseas so basically im stuck with a product that isnt useful at all for my skin  would only get back a few dollars if i returned it minus the wasted time to do so my advice is that you make an appointment with your dermatologist to figure out what the next step thats what im doing spending  on all the wrong stuff is wasting my time i need to figure out whats right and continue with that i hope this helps 
negative,photo shows six cars there are six cars in this assortment by greenlight but you only get one car  missleading ad
neutral,i love this brand but my husband said this was just okay  maybe it is a guy thing maybe it was the smell  even i didnt think the smell on this one was as nice as others i have purchased for myself  this one not their best but i highly recommend others
negative,the quality is somewhat poor
neutral,not nearly as nice as the picture shows the gem is a little off center on the one i received as well cute nick nack tho worth the buy
neutral,my husband liked the norelco xl shaver after using his fathers so i went ahead and checked it out on amazon  prices ranged from  to  i ordered the inexpensive model i was disappointed because the one i ordered was cheap light weight plastic and the shaver was really slow unlike his dads shaver which was made with a polycarbonate heavy duty material and you could feel the substantial weight and quality it was likely the higher priced model all said and done this cheap model gives a good clean shave he is ok with using this daily hes retired but prefers to use his straight edge when he needs to since his straight edge does the better job
negative,i have been using this as recommended but see no results yet will use to the end but not sure i will buy again shipping was fast
positive,way less in the containers than what it looks like here but still cute and what i ordered i recommend buying the tweezers as well because they are really small
negative,didnt work at all bought two boxes for nothing didnt do a thing
neutral,it is okay but actually not as great as the original unscented
neutral,i gave this a  star because when i wear it it makes a black ring around my neck especially in the back of my neck
positive,fine as advertised
positive,muy buena
negative,this product didnt fit our needs we have a one armed grandchild that needed help keeping papers and activities in place when working and this product did not do this
negative,i bought these wipes to soak and apply to nails to remove gel polish i felt like they didnt absorb product well enough they were stiff and hard to fold im sure these work great for removing tacky layer after curing but not ideal to soak off gel polish
neutral,i bought this as a substitute for dr bronners  i just cant get past the smell  ive used almost half the bottle and finally cant take it anymore  just yesterday i bought a bottle of the real stuff  the soap itself works just like bronners
positive,i received this very quickly the picture shows how it looks exactly the colors are very bright and the perfect size great container too very organized
neutral,the brushes are small and stiff
neutral,smells delicious though
positive,the part fit the delivery was on time and in good shape havent been able to use yet but i tested the part after installation and it worked im happy
positive,this arrived quickly and looks like the picture there is wire in the bow so you can shape it different ways
negative,it okay not the greatest
neutral,my hair is curly but it has soft curls so i assumed that it will work just fine for my hair texture the end product wasnt of my entire satisfaction so i had to use the flat iron
negative,i have short hair  this did not grip it securely to curl
neutral,i like the slippers the only thing i would have liked better is if they went higher up on the ankle
negative,when you wash the hello kitty erased not worth buying
neutral,the bar of soap was packaged very well the soap didnt have a very strong fragrance disappointed
positive,came securely packaged didnt have any weird odor  was very moisturizing
negative,does nothing for my skin
neutral,the socks themselves are nice good quality their huf brand socks too the one down side is is that there the wrong color they sent me a different color to the socks that are shown in the picture i am going to contact them about this and see whats going to happen they came early which is a plus
negative,carefully guys this product make a lot of damage on my face
negative,packing was poor job spilled all over wasnt too heart broken because i dont like the smell way too strong for a baby
neutral,there are a soft and hard one inside though i like soft one better however the soft one is not really soft and when i squeeze it my fingers sometimes hurt  wish they come with a bit softer cup  thanks any way
neutral,its okay i guess
positive,really works and covers the hair loss i have until i get hair growing again with another product
positive,probably a great product for prosthetics or make up appliances but it didnt work for my top secret nontraditional experimental process that i am trying to develop
positive,i bought  of these about two years ago for my husband and kids and have been loving it ever since  even after thorough brushing when we use this flosser lots of food particles falls out  its amazing and funny  the brush does not clean under your gums and a lot of food remains there  i have read a lot about how gum cleanliness can affect ones health  i wish i had known this much earlier in my life when we were only using the toothbrush and thought it was enough  i bought this one for my mom  waterpik is the only one of its kind weve all used and we love it it does a great job  we take it with us when we travel  in other words we cannot and will not sleep at night without using it  absolutely worth  stars
positive,as promised and received on time life saver my aunt is obsessed
neutral,great to go organic but these socks shrink and become hard to pull on
neutral,seems to curl up a lot so i have to bend it back to use it  and the corse side sheds but does feel great using it  still getting use to the process
negative,i bought three of these for my sisters birthday when they arrived she was so happy to use them but every single nail polish we used and all the stampers we used would work the designs are not carved deep enough to allow the stamper to pick the paint of off the stencil i recommend buying a rubber or plastic stencil these ones are metal and very disappointing will not be buying from seller anymore
negative,its like clay and it clumps on the lips makes your lips look like they are peeling
negative,was not a big fan of this left my hair sticky would not recommend
negative,the masks smell of chemical out of the bag for a long time so its uncomfortable breathing that in i wore it during a long flight and at end of  hour flight without much taking off and moving around the mask was stretched out and basically not reusable as it is supposed to be what a wasted disappointed
neutral,the lip masks really did not do much for my lips they were a bit slippery when taking them out of the package and i dropped the first one on the floor they are pretty large covering much more than just your lips im sure it works for some people just like other beauty products however i have oily skin and dry lips i think they may have also been part of the cause for breakouts on my chin
